ID,Name,Nexus_File,rooted,type,method,scaling,Source
summary,TREE1,summary.trees,,summary,bayesian,none,Robinson_2012
posterior-1,STATE_7825000,posterior.trees,true,sample,bayesian,none,Robinson_2012
posterior-2,STATE_1166000,posterior.trees,true,sample,bayesian,none,Robinson_2012
posterior-3,STATE_5892000,posterior.trees,true,sample,bayesian,none,Robinson_2012
posterior-4,STATE_7036000,posterior.trees,true,sample,bayesian,none,Robinson_2012
posterior-5,STATE_4172000,posterior.trees,true,sample,bayesian,none,Robinson_2012
posterior-6,STATE_5427000,posterior.trees,true,sample,bayesian,none,Robinson_2012
posterior-7,STATE_8147000,posterior.trees,true,sample,bayesian,none,Robinson_2012
posterior-8,STATE_3649000,posterior.trees,true,sample,bayesian,none,Robinson_2012
posterior-9,STATE_7112000,posterior.trees,true,sample,bayesian,none,Robinson_2012
posterior-10,STATE_3035000,posterior.trees,true,sample,bayesian,none,Robinson_2012
posterior-11,STATE_8093000,posterior.trees,true,sample,bayesian,none,Robinson_2012
posterior-12,STATE_5277000,posterior.trees,true,sample,bayesian,none,Robinson_2012
posterior-13,STATE_3856000,posterior.trees,true,sample,bayesian,none,Robinson_2012
posterior-14,STATE_4060000,posterior.trees,true,sample,bayesian,none,Robinson_2012
posterior-15,STATE_6814000,posterior.trees,true,sample,bayesian,none,Robinson_2012
posterior-16,STATE_2495000,posterior.trees,true,sample,bayesian,none,Robinson_2012
posterior-17,STATE_9700000,posterior.trees,true,sample,bayesian,none,Robinson_2012
posterior-18,STATE_7752000,posterior.trees,true,sample,bayesian,none,Robinson_2012
posterior-19,STATE_9256000,posterior.trees,true,sample,bayesian,none,Robinson_2012
posterior-20,STATE_3729000,posterior.trees,true,sample,bayesian,none,Robinson_2012
posterior-21,STATE_3427000,posterior.trees,true,sample,bayesian,none,Robinson_2012
posterior-22,STATE_4370000,posterior.trees,true,sample,bayesian,none,Robinson_2012
posterior-23,STATE_2275000,posterior.trees,true,sample,bayesian,none,Robinson_2012
posterior-24,STATE_4112000,posterior.trees,true,sample,bayesian,none,Robinson_2012
