Site,Label,concepticonReference,Concepticon_Gloss
1,1_sky-1,1732,SKY
2,1_sky-0,1732,SKY
3,1_sky-3,1732,SKY
4,1_sky-2,1732,SKY
5,1_sky-5,1732,SKY
6,1_sky-4,1732,SKY
7,1_sky-7,1732,SKY
8,1_sky-6,1732,SKY
9,1_sky-9,1732,SKY
10,1_sky-8,1732,SKY
11,2_sun-1,1343,SUN
12,2_sun-0,1343,SUN
13,2_sun-3,1343,SUN
14,2_sun-2,1343,SUN
15,2_sun-4,1343,SUN
16,4_star-1,1430,STAR
17,4_star-0,1430,STAR
18,4_star-3,1430,STAR
19,4_star-2,1430,STAR
20,4_star-5,1430,STAR
21,4_star-4,1430,STAR
22,4_star-6,1430,STAR
23,5_cloud-10,1489,CLOUD
24,5_cloud-1,1489,CLOUD
25,5_cloud-0,1489,CLOUD
26,5_cloud-3,1489,CLOUD
27,5_cloud-2,1489,CLOUD
28,5_cloud-5,1489,CLOUD
29,5_cloud-4,1489,CLOUD
30,5_cloud-7,1489,CLOUD
31,5_cloud-6,1489,CLOUD
32,5_cloud-9,1489,CLOUD
33,5_cloud-8,1489,CLOUD
34,6_night-1,1489,CLOUD
35,6_night-0,1233,NIGHT
36,6_night-3,1233,NIGHT
37,6_night-2,1233,NIGHT
38,6_night-5,1233,NIGHT
39,6_night-4,1233,NIGHT
40,6_night-7,1233,NIGHT
41,6_night-6,1233,NIGHT
42,8_morning-10,1339,MORNING
43,8_morning-1,1339,MORNING
44,8_morning-0,1339,MORNING
45,8_morning-3,1339,MORNING
46,8_morning-2,1339,MORNING
47,8_morning-5,1339,MORNING
48,8_morning-4,1339,MORNING
49,8_morning-7,1339,MORNING
50,8_morning-6,1339,MORNING
51,8_morning-9,1339,MORNING
52,8_morning-8,1339,MORNING
53,9_yesterday-1,1174,YESTERDAY
54,9_yesterday-0,1174,YESTERDAY
55,9_yesterday-3,1174,YESTERDAY
56,9_yesterday-2,1174,YESTERDAY
57,9_yesterday-5,1174,YESTERDAY
58,9_yesterday-4,1174,YESTERDAY
59,9_yesterday-7,1174,YESTERDAY
60,9_yesterday-6,1174,YESTERDAY
61,11_tomorrow-11,1329,TOMORROW
62,11_tomorrow-10,1329,TOMORROW
63,11_tomorrow-0,1329,TOMORROW
64,11_tomorrow-3,1329,TOMORROW
65,11_tomorrow-2,1329,TOMORROW
66,11_tomorrow-5,1329,TOMORROW
67,11_tomorrow-4,1329,TOMORROW
68,11_tomorrow-7,1329,TOMORROW
69,11_tomorrow-6,1329,TOMORROW
70,11_tomorrow-9,1329,TOMORROW
71,11_tomorrow-8,1329,TOMORROW
72,14_wind_1-10,960,WIND
73,14_wind_1-1,960,WIND
74,14_wind_1-0,960,WIND
75,14_wind_1-3,960,WIND
76,14_wind_1-2,960,WIND
77,14_wind_1-5,960,WIND
78,14_wind_1-4,960,WIND
79,14_wind_1-7,960,WIND
80,14_wind_1-6,960,WIND
81,14_wind_1-9,960,WIND
82,14_wind_1-8,960,WIND
83,14_wind_2-1,960,WIND
84,14_wind_2-0,960,WIND
85,14_wind_2-3,960,WIND
